Title,Authors,Abstract,Publication Date,Journal,DOI,Citations
Patent Mapping and Analysis for Green and Clean Hydrogen Production Technology,"{'authors': [{'affiliation': ""Laboratoire de l'ingénierie des procédés de l'environnement (LIPE), Process engineering faculty, Constantine3 university, Algeria"", 'authorUrl': 'https://ieeexplore.ieee.org/author/37085782867', 'id': 37085782867, 'full_name': 'Nawel. Outili', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': [""Laboratoire de l'ingénierie des procédés de l'environnement (LIPE), Process engineering faculty, Constantine3 university, Algeria""]}}, {'affiliation': ""Laboratoire de l'ingénierie des procédés de l'environnement (LIPE), Process engineering faculty, Constantine3 university, Algeria"", 'authorUrl': 'https://ieeexplore.ieee.org/author/37086883693', 'id': 37086883693, 'full_name': 'Abdeslam Hassen. Meniai', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': [""Laboratoire de l'ingénierie des procédés de l'environnement (LIPE), Process engineering faculty, Constantine3 university, Algeria""]}}]}","Considered energy of the future, the hydrogen constitutes a glimmer of hope towards a better climate future. Mastery of the technology of its production and storage constitutes a subject of major interest to enhance innovation. On the other hand, the technical information contained in patents is an indisputable source of innovation. In this work, patent mapping had been used by analyzing and graphically representing patents in the field of hydrogen production using LENS as a patent database and VOSViewer as a visualization tool. The main objective of this work is to exploit this information using patent mapping and analysis on green and clean hydrogen for twenty years for a period from 2000 to 2022 to understand hydrogen production technology in depth and identify innovation trends. The results show the evolution of the number of patents by years, the best inventors, the most patent owner organizations, the most patent applicant countries, the most Cooperative Patent Classification codes and the main green and clean hydrogen trends and opportunities.",16-18 Dec. 2023,2023 14th International Renewable Energy Congress (IREC),10.1109/IREC59750.2023.10389516,0
The emergence of green business modeling innovation ecosystem platform facilitating green digitalization with open-source software,"{'authors': [{'affiliation': 'CTIF Global Capsule, ϕstfold University College, Halden, Norway', 'authorUrl': 'https://ieeexplore.ieee.org/author/37086337971', 'id': 37086337971, 'full_name': 'Per Valter', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['CTIF Global Capsule, ϕstfold University College, Halden, Norway']}}, {'affiliation': 'CTIF Global Capsule, Aarhus University, Herning, Denmark', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085664520', 'id': 37085664520, 'full_name': 'Peter Lindgren', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['CTIF Global Capsule, Aarhus University, Herning, Denmark']}}, {'affiliation': 'CTIF Global Capsule, Aarhus University, Herning, Denmark', 'authorUrl': 'https://ieeexplore.ieee.org/author/37275200300', 'id': 37275200300, 'full_name': 'Ramjee Prasad', 'author_order': 3, 'authorAffiliations': {'authorAffiliation': ['CTIF Global Capsule, Aarhus University, Herning, Denmark']}}]}","In today's world, the digitalization process is ongoing, if not in all, then almost all corners of our society. It has radically changed entire business domains like the banking sector with more online self-service and fewer physical banking locations, and from renting DVDs in stores to online subscription-based streaming, etc. Another fact in today's world is a global burning platform to change human activities to more environmentally sustainable activities that make it possible for humans to enjoy the hospitality of mother earth for many years to come. This article is the second of a series of articles investigating the potential role of digitalization with open-source software in green business modeling innovation. The open-source community is a growing community that has proven to deliver significant value to an ever-increasing number of organizations and individuals. Therefore, this second takes the architectural design proposed in the first article of this series and implements a working prototype. Furthermore, as a result of this article, we document the prototype process and outcome.",30 Oct.-2 Nov. 2022,2022 25th International Symposium on Wireless Personal Multimedia Communications (WPMC),10.1109/WPMC55625.2022.10014745,0
City-Scale Analysis of Green Roof Effectiveness in Reducing Local Surface Temperatures,"{'authors': [{'affiliation': 'Department of Mechanical Engineering, Massachusetts Institute of Technology, Cambridge, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/37089836789', 'id': 37089836789, 'full_name': 'Natasha Stamler', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['Department of Mechanical Engineering, Massachusetts Institute of Technology, Cambridge, USA', 'Department of the Built Environment, Building Physics and Services, Eindhoven University of Technology, Eindhoven, The Netherlands']}}]}","Intensifying urban heat poses a significant threat to public health. To combat this danger, cities are increasingly implementing vegetated green roofs on buildings. This study develops an open-source, quasi-experimental method to evaluate the cooling impacts of green roofs across a city relative to nearby unvegetated roofs. This method, combined with publicly available data across a 14-year period, is applied to quantify the reduction in land surface temperatures (LST) due to green roofs in Washington, D.C. The results show significant variation in cooling performance among green roofs, indicating that not all green roofs reduce rooftop temperatures. The method developed in this study provides a low-cost approach for policymakers and planners to assess the cooling capacity of green roofs in their communities. It can aid in evaluating the effectiveness of green roof programs in mitigating urban heat, especially in resource-constrained situations or for large cities with numerous green roofs.",16-21 July 2023,IGARSS 2023 - 2023 IEEE International Geoscience and Remote Sensing Symposium,10.1109/IGARSS52108.2023.10282034,0
Roadmap For the Green Building in Lebanon,"{'authors': [{'affiliation': 'The Lebanese Association for Energy Saving and for Environment, ALMEE, Beirut, Lebanon', 'authorUrl': 'https://ieeexplore.ieee.org/author/37089935973', 'id': 37089935973, 'full_name': 'Sabine Saad', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['The Lebanese Association for Energy Saving and for Environment, ALMEE, Beirut, Lebanon']}}, {'affiliation': 'The Lebanese Association for Energy Saving and for Environment, ALMEE, Beirut, Lebanon', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085416479', 'id': 37085416479, 'full_name': 'Anissia Beainy', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['The Lebanese Association for Energy Saving and for Environment, ALMEE, Beirut, Lebanon']}}, {'affiliation': 'The Lebanese Association for Energy Saving and for Environment, ALMEE, Beirut, Lebanon', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085824125', 'id': 37085824125, 'full_name': 'Rita Najjar', 'author_order': 3, 'authorAffiliations': {'authorAffiliation': ['The Lebanese Association for Energy Saving and for Environment, ALMEE, Beirut, Lebanon']}}, {'affiliation': 'Lebanon Green Building Council, LGBC, Beirut, Lebanon', 'authorUrl': 'https://ieeexplore.ieee.org/author/37089935800', 'id': 37089935800, 'full_name': 'Riad Assaf', 'author_order': 4, 'authorAffiliations': {'authorAffiliation': ['Lebanon Green Building Council, LGBC, Beirut, Lebanon']}}, {'affiliation': 'The Lebanese Association for Energy Saving and for Environment, ALMEE, Beirut, Lebanon', 'authorUrl': 'https://ieeexplore.ieee.org/author/38547988800', 'id': 38547988800, 'full_name': 'Adnan Jouni', 'author_order': 5, 'authorAffiliations': {'authorAffiliation': ['The Lebanese Association for Energy Saving and for Environment, ALMEE, Beirut, Lebanon']}}]}","The choices made in infrastructure development today will determine the competitiveness, quality of life, and sustainability of countries for decades to come. Unfortunately, for the case of Lebanon, there are no plans for national-level infrastructural development that could be considered as a future goal to advance the country’s ability to compete regionally and ensure an improved standard and quality of living, without depriving future generations of their due share of natural resources and ecological space. This paper focuses on developing a strategic roadmap that is robust yet flexible enough to integrate and implement green building regulations in both new and existing buildings within the Lebanese regulatory framework.",5-7 July 2023,2023 6th International Conference on Renewable Energy for Developing Countries (REDEC),10.1109/REDEC58286.2023.10208191,0
On-Demand based wireless resources trading for Green Communications,"{'authors': [{'affiliation': 'Networking and Information Systems Laboratory, Department of Electrical and Computer Engineering, Texas A and M University, College Station, TX, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/37676640100', 'id': 37676640100, 'full_name': 'Wenchi Cheng', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['Networking and Information Systems Laboratory, Department of Electrical and Computer Engineering, Texas A and M University, College Station, TX, USA']}}, {'affiliation': 'Networking and Information Systems Laboratory, Department of Electrical and Computer Engineering, Texas A and M University, College Station, TX, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/37087074156', 'id': 37087074156, 'full_name': 'Xi Zhang', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['Networking and Information Systems Laboratory, Department of Electrical and Computer Engineering, Texas A and M University, College Station, TX, USA']}}, {'affiliation': ""State Key Laboratory of Integrated Services Networks, Xidian University, Xi'an, China"", 'authorUrl': 'https://ieeexplore.ieee.org/author/37293132300', 'id': 37293132300, 'full_name': 'Hailin Zhang', 'author_order': 3, 'authorAffiliations': {'authorAffiliation': [""State Key Laboratory of Integrated Services Networks, Xidian University, Xi'an, China""]}}, {'affiliation': ""State Key Laboratory of Integrated Services Networks, Xidian University, Xi'an, China"", 'authorUrl': 'https://ieeexplore.ieee.org/author/37087157972', 'id': 37087157972, 'full_name': 'Qiang Wang', 'author_order': 4, 'authorAffiliations': {'authorAffiliation': [""State Key Laboratory of Integrated Services Networks, Xidian University, Xi'an, China""]}}]}","The purpose of Green Communications is to reduce the energy consumption of the communication system as much as possible without compromising the quality of service (QoS) for users. An effective approach for Green Wireless Communications is On-Demand strategy, which scales power consumption with the volume and location of user demand. Applying the On-Demand Communications model, we propose a novel scheme-Wireless Resource Trading, which characterizes the trading relationship among different wireless resources for a given number of performance metrics. According to wireless resource trading relationship, different wireless resources can be consumed for the same set of performance metrics. Therefore, to minimize the energy consumption for given performance metrics, we can trade the other type of wireless resources for the energy resource under the demanded performance metrics. Based on the wireless resource trading relationship, we derive the optimal energy-bandwidth and energy-time wireless resource trading relationship for green wireless communications. We also develop an adaptive trading strategy by using different bandwidths or different delays for different transmission distances with available bandwidths and acceptable delay bounds in wireless networks. Our conducted simulations show that the energy consumption of wireless networks can be significantly reduced with our proposed wireless resources trading scheme.",10-15 April 2011,2011 IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS),10.1109/INFCOMW.2011.5928824,15
GPCGC: A Green Point Cloud Geometry Coding Method,"{'authors': [{'affiliation': 'University of Southern California, Los Angeles, California, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/37090080208', 'id': 37090080208, 'full_name': 'Qingyang Zhou', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['University of Southern California, Los Angeles, California, USA']}}, {'affiliation': 'Tencent Media Lab, Palo Alto, California, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085463183', 'id': 37085463183, 'full_name': 'Shan Liu', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['Tencent Media Lab, Palo Alto, California, USA']}}, {'affiliation': 'University of Southern California, Los Angeles, California, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/37090082810', 'id': 37090082810, 'full_name': 'C.-C. Jay Kuo', 'author_order': 3, 'authorAffiliations': {'authorAffiliation': ['University of Southern California, Los Angeles, California, USA']}}]}","A low-complexity point cloud compression method called the Green Point Cloud Geometry Codec (GPCGC), is proposed to encode the 3D spatial coordinates of static point clouds efficiently. GPCGC consists of two modules. In the first module, point coordinates of input point clouds are hierarchically organized into an octree structure. Points at each leaf node are projected along one of three axes to yield image maps. In the second module, the occupancy map is clustered into 9 modes while the depth map is coded by a low-complexity high-efficiency image codec, called the green image codec (GIC). GIC is a multi-resolution codec based on vector quantization (VQ). Its complexity is significantly lower than HEVC-Intra. Furthermore, the rate-distortion optimization (RDO) technique is used to select the optimal coding parameters. GPCGC is a progressive codec, and it offers a coding performance competitive with MPEG's V-PCC and G-PCC standards at significantly lower complexity.",8-11 Oct. 2023,2023 IEEE International Conference on Image Processing (ICIP),10.1109/ICIP49359.2023.10223048,1
CQR codes: Colored quick-response codes,"{'authors': [{'affiliation': 'Department of Electrical Engineering, Universidade de Brasília, Brazil', 'authorUrl': 'https://ieeexplore.ieee.org/author/37087765814', 'id': 37087765814, 'full_name': 'Max E. Vizcarra Melgar', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['Department of Electrical Engineering, Universidade de Brasília, Brazil']}}, {'affiliation': 'Department of Computer Science, Universidade de Brasília, Brazil', 'authorUrl': 'https://ieeexplore.ieee.org/author/37397405600', 'id': 37397405600, 'full_name': 'Alexandre Zaghetto', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['Department of Computer Science, Universidade de Brasília, Brazil']}}, {'affiliation': 'Department of Computer Science, Universidade de Brasília, Brazil', 'authorUrl': 'https://ieeexplore.ieee.org/author/37296796400', 'id': 37296796400, 'full_name': 'Bruno Macchiavello', 'author_order': 3, 'authorAffiliations': {'authorAffiliation': ['Department of Computer Science, Universidade de Brasília, Brazil']}}, {'affiliation': 'Department of Electrical Engineering, Universidade de Brasília, Brazil', 'authorUrl': 'https://ieeexplore.ieee.org/author/37283331500', 'id': 37283331500, 'full_name': 'Anderson C. A. Nascimento', 'author_order': 4, 'authorAffiliations': {'authorAffiliation': ['Department of Electrical Engineering, Universidade de Brasília, Brazil']}}]}","This paper proposes a new way to store/transmit information using a Colored QR Code structure. Instead of using only black and white modules, the proposed code is designed to employ 5 different RGB colors (red, green, blue, black and white), which enables twice as much storage capacity compared to traditional binary QR Codes. Reed-Solomon error-correcting code with a theoretical correction capability of 38.41% is also applied. In our experiments, each Colored QR Code in the test set is printed, scanned using a 3.2 megapixel digital camera and decoded. We show that the proposed scheme can consistently decode 1024 bits of information stored on a 1.3 cm × 1.3 cm printed area.",3-5 Sept. 2012,2012 IEEE Second International Conference on Consumer Electronics - Berlin (ICCE-Berlin),10.1109/ICCE-Berlin.2012.6336526,13
Optimization of Component Elements in Integrated Coding Systems for Green Communications: A Survey,"{'authors': [{'affiliation': 'Department of Communication Engineering, Xiamen University, Xiamen, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085816871', 'id': 37085816871, 'full_name': 'Qiwang Chen', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['Department of Communication Engineering, Xiamen University, Xiamen, China']}}, {'affiliation': 'Department of Communication Engineering, Xiamen University, Xiamen, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37280765200', 'id': 37280765200, 'full_name': 'Lin Wang', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['Department of Communication Engineering, Xiamen University, Xiamen, China']}}, {'affiliation': 'School of Physics and Information Engineering, Fuzhou University, Fuzhou, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/38248057100', 'id': 38248057100, 'full_name': 'Pingping Chen', 'author_order': 3, 'authorAffiliations': {'authorAffiliation': ['School of Physics and Information Engineering, Fuzhou University, Fuzhou, China']}}, {'affiliation': 'Department of Electronic Engineering, City University of Hong Kong, Hong Kong', 'authorUrl': 'https://ieeexplore.ieee.org/author/37277942500', 'id': 37277942500, 'full_name': 'Guanrong Chen', 'author_order': 4, 'authorAffiliations': {'authorAffiliation': ['Department of Electronic Engineering, City University of Hong Kong, Hong Kong']}}]}","The rapid development of the information-exchange networks accelerates the consumption of resources and energy. For future green communications, the integration of many conventional communication systems is necessary, where the optimization of the component elements in the communication integrated systems realizes energy-savings. In this paper, integrated physical-layer and cross-layer communication coding systems are reviewed, where the physical-layer design focuses on coded modulation and the cross-layer design focuses on the joint source-channel coding scheme and joint channel physical-layer network coding scheme. The characteristics of the integrated systems are analyzed using the extrinsic information transfer algorithm. Taking the re-design of the photograph low-density parity-check codes as an example, different design principles for various integrated systems are discussed, showing the necessity and significance of optimization for component elements in integrated coding systems for green communications.",thirdquarter 2019,IEEE Communications Surveys & Tutorials,10.1109/COMST.2019.2894154,25
Comprehensive evaluation of green construction based on AHP and grey theory,"{'authors': [{'affiliation': 'School of Management, Fujian University of Technology, Fuzhou, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/38495249800', 'id': 38495249800, 'full_name': 'Sai-jing Zhu', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['School of Management, Fujian University of Technology, Fuzhou, China']}}]}","Construction industry consumes a lot of resource and pollute seriously environment. In order to carry out the idea of sustainable development, the most important method is to develop energetically green building. Green construction is an important part to construct green building. In order to implement and extend green construction, it is therefore essential to establish a scientific and reasonable evaluation index system for it. By referring to the existing evaluation index system of green building and comprehensive investigation, the grey hierarchy comprehensive evaluation model is constructed based on establishing 12 indicators in three major categories as resource utilization, environmental conservation and comprehensive management. It is proved feasible and effective to evaluate green construction with the grey hierarchy comprehensive evaluation model by researching and calculating.",20-21 Oct. 2012,"2012 International Conference on Information Management, Innovation Management and Industrial Engineering",10.1109/ICIII.2012.6339912,2
A study on the growth characteristics of green algae blooms in the Yellow Sea using categorical analysis,"{'authors': [{'affiliation': 'College of Information, Shanghai Ocean University, Shanghai, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37087720958', 'id': 37087720958, 'full_name': 'Yingli Tang', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['College of Information, Shanghai Ocean University, Shanghai, China']}}, {'affiliation': 'College of Information, Shanghai Ocean University, Shanghai, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37087692185', 'id': 37087692185, 'full_name': 'Shijun He', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['College of Information, Shanghai Ocean University, Shanghai, China']}}, {'affiliation': 'Institute of Marine Science, Shanghai Ocean University, Shanghai, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37087718323', 'id': 37087718323, 'full_name': 'Haiyang He', 'author_order': 3, 'authorAffiliations': {'authorAffiliation': ['Institute of Marine Science, Shanghai Ocean University, Shanghai, China']}}, {'affiliation': 'Information Science and Engineering, East China University of Science and Technology, Shanghai, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37087721365', 'id': 37087721365, 'full_name': 'Peimin He', 'author_order': 4, 'authorAffiliations': {'authorAffiliation': ['Information Science and Engineering, East China University of Science and Technology, Shanghai, China']}}, {'affiliation': 'Electrical Engineering and Computer Science, University of Tennessee, Knoxville, TN', 'authorUrl': 'https://ieeexplore.ieee.org/author/37087154217', 'id': 37087154217, 'full_name': 'Hairong Qi', 'author_order': 5, 'authorAffiliations': {'authorAffiliation': ['Electrical Engineering and Computer Science, University of Tennessee, Knoxville, TN']}}]}","Green algae (Enteromorpha prolifera) bloom, also known as the green tide, is becoming a new type of marine ecological disaster. More and more studies have been conducted to investigate the cause of green tide as well as its growth and drifting characteristics. However, most existing works either rely on single factor analysis or support vector machine-based multi-factor analysis that do not have an appropriate mechanism to handle categorical data. In this paper, categorical data analysis is adopted to study the effect of multiple environmental factors to the green algae evolution. Among the five factors we studied, temperature, wind force, and wave height have numerical values but weather condition and wind direction are nominal variables. We focus on the study of the correlation between these environmental factors and the size of distribution area of the green tide. Logistic regression models are built using remote sensing data from the Southern Yellow Sea acquired in 2013. Comprehensive analysis and evaluation are carried out, showing the main factors that affect the size of the bloom to be temperature and wave height, as well as their interaction. We also obtain the influence level of each main factor such that accurate prediction and early warnings of green tide can be made possible to alleviate the damage of the bloom.",19-22 Oct. 2015,OCEANS 2015 - MTS/IEEE Washington,10.23919/OCEANS.2015.7404472,0
Beyond Green: Evolution to Adaptability and Recyclability,"{'authors': [{'affiliation': 'Key Laboratory of Computer System and Architecture, Chinese Academy of Sciences (CAS), Beijing, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37278744800', 'id': 37278744800, 'full_name': 'Yuzhong Sun', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['Key Laboratory of Computer System and Architecture, Chinese Academy of Sciences (CAS), Beijing, China', 'Institute of Computing Technology, Chinese Academy of Sciences (CAS), Beijing, China']}}, {'affiliation': 'Key Lab. of Comput. Syst. & Archit., Beijing, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37311288000', 'id': 37311288000, 'full_name': 'Ying Song', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['Key Lab. of Comput. Syst. & Archit., Beijing, China']}}]}","In current social computing system, not only hardware but also software experiences a directly discarded mode. Such directly discarded mode may result in huge waste. The major challenge in green computing is the recyclability of the computing system. In order to address this challenge in the software field, this paper proposes a design idea of green software embodying the adaptability and recyclability. The adaptable and recyclable strategy may consist of two phases. The first one is compressing the increasingly deeper software stack, another one is keeping the functionality recycling and code reuse. The adaptability and recyclability mean automatically decomposing the complex software into several parts which are ease to be reused and automatically selecting the feasible parts for the on-writing software. And we also explore the system software design path to adaptability and recyclability in our previous work as well as in the future.",4-5 Aug. 2011,2011 IEEE/ACM International Conference on Green Computing and Communications,10.1109/GreenCom.2011.48,1
A new transmit diversity MISO CDMA system for green communication,"{'authors': [{'affiliation': 'Advanced Communications Research Laboratory, Electronics and Telecommunications Research Institute, Daejeon, South Korea', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085975286', 'id': 37085975286, 'full_name': 'Mun Geon Kyeong', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['Advanced Communications Research Laboratory, Electronics and Telecommunications Research Institute, Daejeon, South Korea']}}]}","We present a new transmit diversity downlink multiple input single output (MISO) timedivision multiplexing CDMA (CDMA/TDD) system using beamformer, Pre-RAKE diversity combining, and zero correlation duration (ZCD) orthogonal spreading sequence at basestation, while employing one matched filter (MF) based simple terminal receiver. Adopting techniques such as ZCD code, chip-level beamformer (CLB) array antenna configuration, Pre-RAKE transmit diversity, and one single matched filter at the receiver, the proposed system is shown to be efficiently applicable to various voice and data radio communication systems requiring very high performance guaranteeing nearly interference-free communications capability and simultaneously excellent receiver power efficiency. Therefore, it is expected that the proposed system can be efficiently applied to the emerging green communication system and its applications.",15-17 Oct. 2012,2012 International Conference on ICT Convergence (ICTC),10.1109/ICTC.2012.6386819,0
Analysis of application of arithmetic coding on dct and dct-dwt hybrid transforms of images for compression,"{'authors': [{'affiliation': 'National Institute of Technology Durgapur, Durgapur, West Bengal, IN', 'authorUrl': 'https://ieeexplore.ieee.org/author/37087805838', 'id': 37087805838, 'full_name': 'Thafseela Koya', 'author_order': 1, 'authorAffiliations': {'authorAffiliation': ['National Institute of Technology Durgapur, Durgapur, West Bengal, IN']}}, {'affiliation': 'National Institute of Technology, Durgapur, India', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085560497', 'id': 37085560497, 'full_name': 'Saravanan Chandran', 'author_order': 2, 'authorAffiliations': {'authorAffiliation': ['National Institute of Technology, Durgapur, India']}}, {'affiliation': 'Caledonian College of Engineering, Muscat, Oman', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085814177', 'id': 37085814177, 'full_name': 'K. Vijayalakshmi', 'author_order': 3, 'authorAffiliations': {'authorAffiliation': ['Caledonian College of Engineering, Muscat, Oman']}}]}","The main aim of image compression is to represent the image at minimum amount of bytes. This paper presents a new algorithm that reduces number of bytes required to represent images. The proposed system divides the color image into RGB components, CMY components, YCbCr components separately and DCT and DWT are applied to each component and arithmetic coding is applied to the resultant and then their compression ratios are calculated. The results of DCT based arithmetic encoder and DCT-DWT hybrid arithmetic encoder is compared. It is observed that DCT-DWT hybrid arithmetic encoder approach outperforms DCT-based arithmetic encoder approach. It is also observed that the performance of the DCT-DWT hybrid arithmetic encoder based image compression system is best when the YCbCr components are evaluated. RGB and CMY component based compression provides similar results. This approach is also compared with Colour image compression algorithm based on the DCT transform using difference lookup table.",20-22 July 2017,2017 International Conference on Networks & Advances in Computational Technologies (NetACT),10.1109/NETACT.2017.8076782,3
